github	F300
c-github	F301
flickr	F303
c-flickr	F304
vimeo	F306
c-vimeo	F307
twitter	F309
c-twitter	F30A
facebook	F30C
c-facebook	F30D
s-facebook	F30E
google+	F30F
c-google+	F310
pinterest	F312
c-pinterest	F313
tumblr	F315
c-tumblr	F316
linkedin	F318
c-linkedin	F319
dribbble	F31B
c-dribbble	F31C
stumbleupon	F31E
c-stumbleupon	F31F
lastfm	F321
c-lastfm	F322
rdio	F324
c-rdio	F325
spotify	F327
c-spotify	F328
qq	F32A
instagram	F32D
dropbox	F330
evernote	F333
flattr	F336
skype	F339
c-skype	F33A
renren	F33C
sina-weibo	F33F
paypal	F342
picasa	F345
soundcloud	F348
mixi	F34B
behance	F34E
google-circles	F351
vk	F354
smashing	F357
