3d-rotation	f101
airplane-off	f102
airplane	f103
album	f104
archive	f105
assignment-account	f106
assignment-alert	f107
assignment-check	f108
assignment-o	f109
assignment-return	f10a
assignment-returned	f10b
assignment	f10c
attachment-alt	f10d
attachment	f10e
audio	f10f
badge-check	f110
balance-wallet	f111
balance	f112
battery-alert	f113
battery-flash	f114
battery-unknown	f115
battery	f116
bike	f117
block-alt	f118
block	f119
boat	f11a
book-image	f11b
book	f11c
bookmark-outline	f11d
bookmark	f11e
brush	f11f
bug	f120
bus	f121
cake	f122
car-taxi	f123
car-wash	f124
car	f125
card-giftcard	f126
card-membership	f127
card-travel	f128
card	f129
case-check	f12a
case-download	f12b
case-play	f12c
case	f12d
cast-connected	f12e
cast	f12f
chart-donut	f130
chart	f131
city-alt	f132
city	f133
close-circle-o	f134
close-circle	f135
close	f136
cocktail	f137
code-setting	f138
code-smartphone	f139
code	f13a
coffee	f13b
collection-bookmark	f13c
collection-case-play	f13d
collection-folder-image	f13e
collection-image-o	f13f
collection-image	f140
collection-item-1	f141
collection-item-2	f142
collection-item-3	f143
collection-item-4	f144
collection-item-5	f145
collection-item-6	f146
collection-item-7	f147
collection-item-8	f148
collection-item-9-plus	f149
collection-item-9	f14a
collection-item	f14b
collection-music	f14c
collection-pdf	f14d
collection-plus	f14e
collection-speaker	f14f
collection-text	f150
collection-video	f151
compass	f152
cutlery	f153
delete	f154
dialpad	f155
dns	f156
drink	f157
edit	f158
email-open	f159
email	f15a
eye-off	f15b
eye	f15c
eyedropper	f15d
favorite-outline	f15e
favorite	f15f
filter-list	f160
fire	f161
flag	f162
flare	f163
flash-auto	f164
flash-off	f165
flash	f166
flip	f167
flower-alt	f168
flower	f169
font	f16a
fullscreen-alt	f16b
fullscreen-exit	f16c
fullscreen	f16d
functions	f16e
gas-station	f16f
gesture	f170
globe-alt	f171
globe-lock	f172
globe	f173
graduation-cap	f174
home	f175
hospital-alt	f176
hospital	f177
hotel	f178
hourglass-alt	f179
hourglass-outline	f17a
hourglass	f17b
http	f17c
image-alt	f17d
image-o	f17e
image	f17f
inbox	f180
invert-colors-off	f181
invert-colors	f182
key	f183
label-alt-outline	f184
label-alt	f185
label-heart	f186
label	f187
labels	f188
lamp	f189
landscape	f18a
layers-off	f18b
layers	f18c
library	f18d
link	f18e
lock-open	f18f
lock-outline	f190
lock	f191
mail-reply-all	f192
mail-reply	f193
mail-send	f194
mall	f195
map	f196
menu	f197
money-box	f198
money-off	f199
money	f19a
more-vert	f19b
more	f19c
movie-alt	f19d
movie	f19e
nature-people	f19f
nature	f1a0
navigation	f1a1
open-in-browser	f1a2
open-in-new	f1a3
palette	f1a4
parking	f1a5
pin-account	f1a6
pin-assistant	f1a7
pin-drop	f1a8
pin-help	f1a9
pin-off	f1aa
