adjust-brightness	e000
adjust-contrast	e001
anchor-outline	e002
anchor	e003
archive	e004
arrow-back-outline	e005
arrow-back	e006
arrow-down-outline	e007
arrow-down-thick	e008
arrow-down	e009
arrow-forward-outline	e00a
arrow-forward	e00b
arrow-left-outline	e00c
arrow-left-thick	e00d
arrow-left	e00e
arrow-loop-outline	e00f
arrow-loop	e010
arrow-maximise-outline	e011
arrow-maximise	e012
arrow-minimise-outline	e013
arrow-minimise	e014
arrow-move-outline	e015
arrow-move	e016
arrow-repeat-outline	e017
arrow-repeat	e018
arrow-right-outline	e019
arrow-right-thick	e01a
arrow-right	e01b
arrow-shuffle	e01c
arrow-sorted-down	e01d
arrow-sorted-up	e01e
arrow-sync-outline	e01f
arrow-sync	e020
arrow-unsorted	e021
arrow-up-outline	e022
arrow-up-thick	e023
arrow-up	e024
at	e025
attachment-outline	e026
attachment	e027
backspace-outline	e028
backspace	e029
battery-charge	e02a
battery-full	e02b
battery-high	e02c
battery-low	e02d
battery-mid	e02e
beaker	e02f
beer	e030
bell	e031
book	e032
bookmark	e033
briefcase	e034
brush	e035
business-card	e036
calculator	e037
calender-outline	e038
calender	e039
camera-outline	e03a
camera	e03b
cancel-outline	e03c
cancel	e03d
chart-area-outline	e03e
chart-area	e03f
chart-bar-outline	e040
chart-bar	e041
chart-line-outline	e042
chart-line	e043
chart-pie-outline	e044
chart-pie	e045
chevron-left-outline	e046
chevron-left	e047
chevron-right-outline	e048
chevron-right	e049
clipboard	e04a
cloud-storage	e04b
code-outline	e04c
code	e04d
coffee	e04e
cog-outline	e04f
cog	e050
compass	e051
contacts	e052
credit-card	e053
cross	e054
css3	e055
database	e056
delete-outline	e057
delete	e058
device-desktop	e059
device-laptop	e05a
device-phone	e05b
device-tablet	e05c
directions	e05d
divide-outline	e05e
divide	e05f
document-add	e060
document-delete	e061
document-text	e062
document	e063
download-outline	e064
download	e065
dropbox	e066
edit	e067
eject-outline	e068
eject	e069
equals-outline	e06a
equals	e06b
export-outline	e06c
export	e06d
eye-outline	e06e
eye	e06f
feather	e070
film	e071
filter	e072
flag-outline	e073
flag	e074
flash-outline	e075
flash	e076
flow-children	e077
flow-merge	e078
flow-parallel	e079
flow-switch	e07a
folder-add	e07b
folder-delete	e07c
folder-open	e07d
folder	e07e
gift	e07f
globe-outline	e080
globe	e081
group-outline	e082
group	e083
headphones	e084
heart-full-outline	e085
heart-half-outline	e086
heart-outline	e087
heart	e088
home-outline	e089
home	e08a
html5	e08b
image-outline	e08c
image	e08d
infinity-outline	e08e
infinity	e08f
info-large-outline	e090
info-large	e091
info-outline	e092
info	e093
input-checked-outline	e094
input-checked	e095
key-outline	e096
key	e097
keyboard	e098
leaf	e099
lightbulb	e09a
link-outline	e09b
link	e09c
location-arrow-outline	e09d
location-arrow	e09e
location-outline	e09f
location	e0a0
lock-closed-outline	e0a1
lock-closed	e0a2
lock-open-outline	e0a3
lock-open	e0a4
mail	e0a5
map	e0a6
media-eject-outline	e0a7
media-eject	e0a8
media-fast-forward-outline	e0a9
media-fast-forward	e0aa
media-pause-outline	e0ab
media-pause	e0ac
media-play-outline	e0ad
media-play-reverse-outline	e0ae
media-play-reverse	e0af
media-play	e0b0
media-record-outline	e0b1
media-record	e0b2
media-rewind-outline	e0b3
media-rewind	e0b4
media-stop-outline	e0b5
media-stop	e0b6
message-typing	e0b7
message	e0b8
messages	e0b9
microphone-outline	e0ba
microphone	e0bb
minus-outline	e0bc
minus	e0bd
mortar-board	e0be
news	e0bf
notes-outline	e0c0
notes	e0c1
pen	e0c2
pencil	e0c3
phone-outline	e0c4
phone	e0c5
pi-outline	e0c6
pi	e0c7
pin-outline	e0c8
pin	e0c9
pipette	e0ca
plane-outline	e0cb
plane	e0cc
plug	e0cd
plus-outline	e0ce
plus	e0cf
point-of-interest-outline	e0d0
point-of-interest	e0d1
power-outline	e0d2
power	e0d3
printer	e0d4
puzzle-outline	e0d5
puzzle	e0d6
