day-sunny	F00D
day-cloudy	F002
day-cloudy-gusts	F000
day-cloudy-windy	F001
day-fog	F003
day-hail	F004
day-haze	F0B6
day-lightning	F005
day-rain	F008
day-rain-mix	F006
day-rain-wind	F007
day-showers	F009
day-sleet	F0B2
day-sleet-storm	F068
day-snow	F00A
day-snow-thunderstorm	F06B
day-snow-wind	F065
day-sprinkle	F00B
day-storm-showers	F00E
day-sunny-overcast	F00C
day-thunderstorm	F010
day-windy	F085
solar-eclipse	F06E
hot	F072
day-cloudy-high	F07D
day-light-wind	F0C4
night-clear	F02E
night-alt-cloudy	F086
night-alt-cloudy-gusts	F022
night-alt-cloudy-windy	F023
night-alt-hail	F024
night-alt-lightning	F025
night-alt-rain	F028
night-alt-rain-mix	F026
night-alt-rain-wind	F027
night-alt-showers	F029
night-alt-sleet	F0B4
night-alt-sleet-storm	F06A
night-alt-snow	F02A
night-alt-snow-thunderstorm	F06D
night-alt-snow-wind	F067
night-alt-sprinkle	F02B
night-alt-storm-showers	F02C
night-alt-thunderstorm	F02D
night-cloudy	F031
night-cloudy-gusts	F02F
night-cloudy-windy	F030
night-fog	F04A
night-hail	F032
night-lightning	F033
night-partly-cloudy	F083
night-rain	F036
night-rain-mix	F034
night-rain-wind	F035
night-showers	F037
night-sleet	F0B3
night-sleet-storm	F069
night-snow	F038
night-snow-thunderstorm	F06C
night-snow-wind	F066
night-sprinkle	F039
night-storm-showers	F03A
night-thunderstorm	F03B
lunar-eclipse	F070
stars	F077
storm-showers	F01D
thunderstorm	F01E
night-alt-cloudy-high	F07E
night-cloudy-high	F080
night-alt-partly-cloudy	F081
cloud	F041
cloudy	F013
cloudy-gusts	F011
cloudy-windy	F012
fog	F014
hail	F015
rain	F019
rain-mix	F017
rain-wind	F018
showers	F01A
sleet	F0B5
snow	F01B
sprinkle	F01C
storm-showers	F01D
thunderstorm	F01E
snow-wind	F064
snow	F01B
smog	F074
smoke	F062
lightning	F016
raindrops	F04E
raindrop	F078
dust	F063
snowflake-cold	F076
windy	F021
strong-wind	F050
sandstorm	F082
earthquake	F0C6
fire	F0C7
flood	F07C
meteor	F071
tsunami	F0C5
volcano	F0C8
hurricane	F073
tornado	F056
small-craft-advisory	F0CC
gale-warning	F0CD
storm-warning	F0CE
hurricane-warning	F0CF
wind-direction	F0B1
alien	F075
celsius	F03C
fahrenheit	F045
degrees	F042
thermometer	F055
thermometer-exterior	F053
thermometer-internal	F054
cloud-down	F03D
cloud-up	F040
cloud-refresh	F03E
horizon	F047
horizon-alt	F046
sunrise	F051
sunset	F052
moonrise	F0C9
moonset	F0CA
refresh	F04C
refresh-alt	F04B
umbrella	F084
barometer	F079
humidity	F07A
na	F07B
train	F0CB
moon-new	F095
moon-waxing-cresent-1	F096
moon-waxing-cresent-2	F097
moon-waxing-cresent-3	F098
moon-waxing-cresent-4	F099
moon-waxing-cresent-5	F09A
moon-waxing-cresent-6	F09B
moon-first-quarter	F09C
moon-waxing-gibbous-1	F09D
moon-waxing-gibbous-2	F09E
moon-waxing-gibbous-3	F09F
moon-waxing-gibbous-4	F0A0
moon-waxing-gibbous-5	F0A1
moon-waxing-gibbous-6	F0A2
moon-full	F0A3
moon-waning-gibbous-1	F0A4
moon-waning-gibbous-2	F0A5
moon-waning-gibbous-3	F0A6
moon-waning-gibbous-4	F0A7
moon-waning-gibbous-5	F0A8
moon-waning-gibbous-6	F0A9
moon-third-quarter	F0AA
moon-waning-crescent-1	F0AB
moon-waning-crescent-2	F0AC
moon-waning-crescent-3	F0AD
moon-waning-crescent-4	F0AE
moon-waning-crescent-5	F0AF
moon-waning-crescent-6	F0B0
moon-alt-new	F0EB
moon-alt-waxing-cresent-1	F0D0
moon-alt-waxing-cresent-2	F0D1
moon-alt-waxing-cresent-3	F0D2
moon-alt-waxing-cresent-4	F0D3
moon-alt-waxing-cresent-5	F0D4
moon-alt-waxing-cresent-6	F0D5
moon-alt-first-quarter	F0D6
moon-alt-waxing-gibbous-1	F0D7
moon-alt-waxing-gibbous-2	F0D8
moon-alt-waxing-gibbous-3	F0D9
moon-alt-waxing-gibbous-4	F0DA
moon-alt-waxing-gibbous-5	F0DB
moon-alt-waxing-gibbous-6	F0DC
moon-alt-full	F0DD
moon-alt-waning-gibbous-1	F0DE
moon-alt-waning-gibbous-2	F0DF
moon-alt-waning-gibbous-3	F0E0
moon-alt-waning-gibbous-4	F0E1
moon-alt-waning-gibbous-5	F0E2
moon-alt-waning-gibbous-6	F0E3
moon-alt-third-quarter	F0E4
moon-alt-waning-crescent-1	F0E5
moon-alt-waning-crescent-2	F0E6
moon-alt-waning-crescent-3	F0E7
moon-alt-waning-crescent-4	F0E8
moon-alt-waning-crescent-5	F0E9
moon-alt-waning-crescent-6	F0EA
moon-0	F095
moon-1	F096
moon-2	F097
moon-3	F098
moon-4	F099
moon-5	F09A
moon-6	F09B
moon-7	F09C
moon-8	F09D
moon-9	F09E
moon-10	F09F
moon-11	F0A0
moon-12	F0A1
moon-13	F0A2
moon-14	F0A3
moon-15	F0A4
moon-16	F0A5
moon-17	F0A6
moon-18	F0A7
moon-19	F0A8
moon-20	F0A9
moon-21	F0AA
moon-22	F0AB
moon-23	F0AC
moon-24	F0AD
moon-25	F0AE
moon-26	F0AF
moon-27	F0B0
time-1	F08A
time-2	F08B
time-3	F08C
time-4	F08D
time-5	F08E
time-6	F08F
time-7	F090
time-8	F091
time-9	F092
time-10	F093
time-11	F094
time-12	F089
direction-up	F058
direction-up-right	F057
direction-right	F04D
direction-down-right	F088
direction-down	F044
direction-down-left	F043
direction-left	F048
direction-up-left	F087
wind-beaufort-0	F0B7
wind-beaufort-1	F0B8
wind-beaufort-2	F0B9
wind-beaufort-3	F0BA
wind-beaufort-4	F0BB
wind-beaufort-5	F0BC
wind-beaufort-6	F0BD
wind-beaufort-7	F0BE
wind-beaufort-8	F0BF
wind-beaufort-9	F0C0
wind-beaufort-10	F0C1
wind-beaufort-11	F0C2
wind-beaufort-12	F0C3
yahoo-0	F056
yahoo-1	F00E
yahoo-2	F073
yahoo-3	F01E
yahoo-4	F01E
yahoo-5	F017
yahoo-6	F017
yahoo-7	F017
yahoo-8	F015
yahoo-9	F01A
yahoo-10	F015
yahoo-11	F01A
yahoo-12	F01A
yahoo-13	F01B
yahoo-14	F00A
yahoo-15	F064
yahoo-16	F01B
yahoo-17	F015
yahoo-18	F017
yahoo-19	F063
yahoo-20	F014
yahoo-21	F021
yahoo-22	F062
yahoo-23	F050
yahoo-24	F050
yahoo-25	F076
yahoo-26	F013
yahoo-27	F031
yahoo-28	F002
yahoo-29	F031
yahoo-30	F002
yahoo-31	F02E
yahoo-32	F00D
yahoo-33	F083
yahoo-34	F00C
yahoo-35	F017
yahoo-36	F072
yahoo-37	F00E
yahoo-38	F00E
yahoo-39	F00E
yahoo-40	F01A
yahoo-41	F064
yahoo-42	F01B
yahoo-43	F064
yahoo-44	F00C
yahoo-45	F00E
yahoo-46	F01B
yahoo-47	F00E
yahoo-3200	F077
forecast-io-clear-day	F00D
forecast-io-clear-night	F02E
forecast-io-rain	F019
forecast-io-snow	F01B
forecast-io-sleet	F0B5
forecast-io-wind	F050
forecast-io-fog	F014
forecast-io-cloudy	F013
forecast-io-partly-cloudy-day	F002
forecast-io-partly-cloudy-night	F031
forecast-io-hail	F015
forecast-io-thunderstorm	F01E
forecast-io-tornado	F056
wmo4680-00	F055
wmo4680-01	F013
wmo4680-02	F055
wmo4680-03	F013
wmo4680-04	F014
wmo4680-05	F014
wmo4680-10	F014
wmo4680-11	F014
wmo4680-12	F016
wmo4680-18	F050
wmo4680-20	F014
wmo4680-21	F017
wmo4680-22	F017
wmo4680-23	F019
wmo4680-24	F01B
wmo4680-25	F015
wmo4680-26	F01E
wmo4680-27	F063
wmo4680-28	F063
wmo4680-29	F063
wmo4680-30	F014
wmo4680-31	F014
wmo4680-32	F014
wmo4680-33	F014
wmo4680-34	F014
wmo4680-35	F014
wmo4680-40	F017
wmo4680-41	F01C
wmo4680-42	F019
wmo4680-43	F01C
wmo4680-44	F019
wmo4680-45	F015
wmo4680-46	F015
wmo4680-47	F01B
wmo4680-48	F01B
wmo4680-50	F01C
wmo4680-51	F01C
wmo4680-52	F019
wmo4680-53	F019
wmo4680-54	F076
wmo4680-55	F076
wmo4680-56	F076
wmo4680-57	F01C
wmo4680-58	F019
wmo4680-60	F01C
wmo4680-61	F01C
wmo4680-62	F019
wmo4680-63	F019
wmo4680-64	F015
wmo4680-65	F015
wmo4680-66	F015
wmo4680-67	F017
wmo4680-68	F017
wmo4680-70	F01B
wmo4680-71	F01B
wmo4680-72	F01B
wmo4680-73	F01B
wmo4680-74	F076
wmo4680-75	F076
wmo4680-76	F076
wmo4680-77	F01B
wmo4680-78	F076
wmo4680-80	F019
wmo4680-81	F01C
wmo4680-82	F019
wmo4680-83	F019
wmo4680-84	F01D
wmo4680-85	F017
wmo4680-86	F017
wmo4680-87	F017
wmo4680-89	F015
wmo4680-90	F016
wmo4680-91	F01D
wmo4680-92	F01E
wmo4680-93	F01E
wmo4680-94	F016
wmo4680-95	F01E
wmo4680-96	F01E
wmo4680-99	F056
owm-200	F01E
owm-201	F01E
owm-202	F01E
owm-210	F016
owm-211	F016
owm-212	F016
owm-221	F016
owm-230	F01E
owm-231	F01E
owm-232	F01E
owm-300	F01C
owm-301	F01C
owm-302	F019
owm-310	F017
owm-311	F019
owm-312	F019
owm-313	F01A
owm-314	F019
owm-321	F01C
owm-500	F01C
owm-501	F019
owm-502	F019
owm-503	F019
owm-504	F019
owm-511	F017
owm-520	F01A
owm-521	F01A
owm-522	F01A
owm-531	F01D
owm-600	F01B
owm-601	F01B
owm-602	F0B5
owm-611	F017
owm-612	F017
owm-615	F017
owm-616	F017
owm-620	F017
owm-621	F01B
owm-622	F01B
owm-701	F01A
owm-711	F062
owm-721	F0B6
owm-731	F063
owm-741	F014
owm-761	F063
owm-762	F063
owm-771	F011
owm-781	F056
owm-800	F00D
owm-801	F011
owm-802	F011
owm-803	F012
owm-804	F013
owm-900	F056
owm-901	F01D
owm-902	F073
owm-903	F076
owm-904	F072
owm-905	F021
owm-906	F015
owm-957	F050
owm-day-200	F010
owm-day-201	F010
owm-day-202	F010
owm-day-210	F005
owm-day-211	F005
owm-day-212	F005
owm-day-221	F005
owm-day-230	F010
owm-day-231	F010
owm-day-232	F010
owm-day-300	F00B
owm-day-301	F00B
owm-day-302	F008
owm-day-310	F008
owm-day-311	F008
owm-day-312	F008
owm-day-313	F008
owm-day-314	F008
owm-day-321	F00B
owm-day-500	F00B
owm-day-501	F008
owm-day-502	F008
owm-day-503	F008
owm-day-504	F008
owm-day-511	F006
owm-day-520	F009
owm-day-521	F009
owm-day-522	F009
owm-day-531	F00E
owm-day-600	F00A
owm-day-601	F0B2
owm-day-602	F00A
owm-day-611	F006
owm-day-612	F006
owm-day-615	F006
owm-day-616	F006
owm-day-620	F006
owm-day-621	F00A
owm-day-622	F00A
owm-day-701	F009
owm-day-711	F062
owm-day-721	F0B6
owm-day-731	F063
owm-day-741	F003
owm-day-761	F063
owm-day-762	F063
owm-day-781	F056
owm-day-800	F00D
owm-day-801	F000
owm-day-802	F000
owm-day-803	F000
owm-day-804	F00C
owm-day-900	F056
owm-day-902	F073
owm-day-903	F076
owm-day-904	F072
owm-day-906	F004
owm-day-957	F050
owm-night-200	F02D
owm-night-201	F02D
owm-night-202	F02D
owm-night-210	F025
owm-night-211	F025
owm-night-212	F025
owm-night-221	F025
owm-night-230	F02D
owm-night-231	F02D
owm-night-232	F02D
owm-night-300	F02B
owm-night-301	F02B
owm-night-302	F028
owm-night-310	F028
owm-night-311	F028
owm-night-312	F028
owm-night-313	F028
owm-night-314	F028
owm-night-321	F02B
owm-night-500	F02B
owm-night-501	F028
owm-night-502	F028
owm-night-503	F028
owm-night-504	F028
owm-night-511	F026
owm-night-520	F029
owm-night-521	F029
owm-night-522	F029
owm-night-531	F02C
owm-night-600	F02A
owm-night-601	F0B4
owm-night-602	F02A
owm-night-611	F026
owm-night-612	F026
owm-night-615	F026
owm-night-616	F026
owm-night-620	F026
owm-night-621	F02A
owm-night-622	F02A
owm-night-701	F029
owm-night-711	F062
owm-night-721	F0B6
owm-night-731	F063
owm-night-741	F04A
owm-night-761	F063
owm-night-762	F063
owm-night-781	F056
owm-night-800	F02E
owm-night-801	F022
owm-night-802	F022
owm-night-803	F022
owm-night-804	F086
owm-night-900	F056
owm-night-902	F073
owm-night-903	F076
owm-night-904	F072
owm-night-906	F024
owm-night-957	F050
wind	F0B1
